NOM_COM,INSEE_COM,POPULATION,surface,r,distance_interne,x,y
Morestel,38261,4425,8.038,0.902,0.817,894,6511
Sermérieu,38483,1657,17.378,1.327,1.201,890,6511
Saint-Romain-en-Jarez,42283,1232,16.886,1.308,1.184,817,6497
Corbelin,38124,2226,12.117,1.108,1.003,898,6502
Rochetoirin,38341,1124,10.688,1.041,0.943,887,6501
Vignieu,38546,1039,9.406,0.976,0.884,891,6507
Saint-Aubin-des-Landes,35252,945,10.345,1.024,0.927,378,6788
Saint-Sorlin-de-Morestel,38458,634,5.476,0.745,0.675,894,6507
Vinzelles,71583,694,4.444,0.671,0.608,835,6576
Saint-Jean-de-Soudain,38401,1576,7.555,0.875,0.792,888,6498
La Chapelle-de-la-Tour,38076,1767,9.110,0.961,0.870,895,6501
Bartherans,25044,52,5.832,0.769,0.696,922,6661
Montcarra,38250,530,4.929,0.707,0.640,890,6505
Faverges-de-la-Tour,38162,1388,7.683,0.882,0.799,896,6504
La Roche-Vineuse,71371,1544,12.033,1.104,1.000,832,6586
Saint-Didier-sur-Chalaronne,1348,2832,25.158,1.597,1.446,839,6563
Jullié,69104,439,9.815,0.997,0.903,831,6572
Neuilly-en-Donjon,3196,220,25.089,1.594,1.443,766,6585
Régnié-Durette,69165,1114,11.735,1.090,0.987,825,6566
Saint-Cyr-sur-Menthon,1343,1761,17.044,1.314,1.190,849,6578
Chénelette,69054,327,11.035,1.057,0.957,816,6563
Dourdain,35101,1157,13.923,1.188,1.076,373,6799
Roz-Landrieux,35246,1339,18.073,1.353,1.225,345,6835
Cercié,69036,1123,4.992,0.711,0.644,827,6559
Taillis,35330,1001,13.117,1.153,1.044,383,6794
Saint-Georges-de-Reneins,69206,4363,27.387,1.666,1.508,830,6550
Saint-Didier-sur-Beaujeu,69196,616,14.527,1.213,1.098,816,6562
Sermoyer,1402,678,16.944,1.310,1.186,848,6603
Vauxrenard,69258,322,19.171,1.394,1.262,824,6570
Leynes,71258,524,4.864,0.702,0.636,833,6576
Triguères,45329,1307,35.881,1.907,1.727,702,6756
Pierreclos,71350,910,12.400,1.121,1.015,828,6585
Saint-André-de-Bâgé,1332,742,2.715,0.524,0.474,848,6578
Bruz,35047,18094,29.965,1.742,1.577,346,6775
Odenas,69145,930,9.083,0.959,0.868,827,6558
Rancy,71365,546,5.842,0.769,0.696,858,6612
Lion-sur-Mer,14365,2424,4.755,0.694,0.628,456,6916
Beaujeu,69018,2122,17.744,1.341,1.214,822,6567
Leval,90066,245,6.111,0.787,0.713,1001,6746
Émeringes,69082,251,3.005,0.552,0.500,827,6572
