"Année,""Commune"",""Secteur économique"",""Etablissements"",""Emplois"",""Emplois femmes"",""Emplois hommes"",""Equivalents plein temps"",""Equivalents plein temps femmes"",""Equivalents plein temps hommes"""
"2021,""89 Niederglatt"",""Secteur primaire"",10,36,16,20,21,7,14"
"2021,""89 Niederglatt"",""Secteur secondaire"",41,368,159,209,310,111,199"
"2021,""89 Niederglatt"",""Secteur tertiaire"",200,1296,494,802,1032,319,714"
"2021,""90 Niederhasli"",""Secteur économique - total"",486,2580,930,1650,2058,591,1467"
"2021,""90 Niederhasli"",""Secteur primaire"",23,55,22,33,35,10,25"
"2021,""90 Niederhasli"",""Secteur secondaire"",102,941,159,782,857,111,746"
"2021,""90 Niederhasli"",""Secteur tertiaire"",361,1584,749,835,1166,470,696"
"2021,""91 Niederweningen"",""Secteur économique - total"",165,878,353,525,696,223,473"
"2021,""91 Niederweningen"",""Secteur primaire"",20,49,17,32,31,7,24"
"2021,""91 Niederweningen"",""Secteur secondaire"",18,347,68,279,327,56,271"
"2021,""91 Niederweningen"",""Secteur tertiaire"",127,482,268,214,338,160,178"
"2021,""92 Oberglatt"",""Secteur économique - total"",329,1927,642,1285,1571,388,1183"
"2021,""92 Oberglatt"",""Secteur primaire"",9,25,X,X,16,X,X"
"2021,""92 Oberglatt"",""Secteur secondaire"",70,972,X,X,918,X,X"
"2021,""92 Oberglatt"",""Secteur tertiaire"",250,930,511,419,637,296,340"
"2021,""93 Oberweningen"",""Secteur économique - total"",92,241,125,116,174,75,99"
"2021,""93 Oberweningen"",""Secteur primaire"",8,35,13,22,26,8,19"
"2021,""93 Oberweningen"",""Secteur secondaire"",15,37,12,25,30,6,23"
"2021,""93 Oberweningen"",""Secteur tertiaire"",69,169,100,69,118,61,57"
"2021,""94 Otelfingen"",""Secteur économique - total"",268,2441,860,1581,1965,556,1409"
"2021,""94 Otelfingen"",""Secteur primaire"",11,107,66,41,46,21,25"
"2021,""94 Otelfingen"",""Secteur secondaire"",53,479,80,399,429,53,376"
"2021,""94 Otelfingen"",""Secteur tertiaire"",204,1855,714,1141,1490,483,1007"
"2021,""95 Regensberg"",""Secteur économique - total"",45,299,166,133,187,91,96"
"2021,""95 Regensberg"",""Secteur primaire"",X,21,8,13,14,4,9"
"2021,""95 Regensberg"",""Secteur secondaire"",X,6,0,6,6,0,6"
"2021,""95 Regensberg"",""Secteur tertiaire"",37,272,158,114,167,87,81"
"2021,""96 Regensdorf"",""Secteur économique - total"",1282,10239,4020,6219,8220,2626,5594"
"2021,""96 Regensdorf"",""Secteur primaire"",23,111,52,59,63,23,40"
"2021,""96 Regensdorf"",""Secteur secondaire"",222,2350,338,2012,2191,251,1941"
"2021,""96 Regensdorf"",""Secteur tertiaire"",1037,7778,3630,4148,5967,2353,3614"
"2021,""97 Rümlang"",""Secteur économique - total"",776,6596,2126,4470,5462,1409,4053"
"2021,""97 Rümlang"",""Secteur primaire"",26,88,31,57,54,12,42"
"2021,""97 Rümlang"",""Secteur secondaire"",151,1922,309,1613,1791,235,1556"
"2021,""97 Rümlang"",""Secteur tertiaire"",599,4586,1786,2800,3616,1162,2454"
"2021,""98 Schleinikon"",""Secteur économique - total"",61,156,69,87,103,35,68"
"2021,""98 Schleinikon"",""Secteur primaire"",15,38,12,26,27,6,20"
"2021,""98 Schleinikon"",""Secteur secondaire"",11,42,18,24,30,8,22"
"2021,""98 Schleinikon"",""Secteur tertiaire"",35,76,39,37,46,21,25"
