,NOM_COM,INSEE_COM,x,y
282,Brion,48031,706237.649389221,6405668.66186349
283,Chauchailles,48044,705855.213090343,6410418.89053212
284,Prinsuéjols-Malbouzon,48087,712599.008058507,6397666.57646921
285,Saint-Juéry,48161,706505.284188892,6414582.75671394
286,Prunières,48121,726421.235689743,6413210.73099796
287,Termes,48190,713396.001619825,6414125.16985155
288,La Fage-Saint-Julien,48059,716501.557409907,6411136.05648626
289,Noalhac,48106,708989.303233256,6411218.25226956
290,Recoules-d'Aubrac,48123,702959.845998649,6399306.98584747
291,La Fage-Montivernoux,48058,711971.058404477,6405336.82491376
292,Saint-Alban-sur-Limagnole,48132,731891.97398511,6410872.00766475
293,Le Malzieu-Ville,48090,726628.54736126,6418244.57650516
294,Lajo,48079,734757.817070518,6414500.94212294
295,La Panouse,48108,746553.942262716,6404405.9415809
296,Les Laubies,48083,734999.037612312,6400436.89768276
297,Grandrieu,48070,750697.178257098,6408902.78781774
298,Naussac-Fontanes,48105,762674.77916656,6407909.58440812
299,Rocles,48129,762264.158915491,6400768.55303033
300,Langogne,48080,766024.328903511,6403104.68105478
301,Saint-Paul-le-Froid,48174,742796.090249797,6410832.94019236
302,Saint-Jean-la-Fouillouse,48160,754690.697452356,6401430.64883
303,Auroux,48010,757523.516788329,6406789.57757238
304,Sainte-Eulalie,48149,738341.511891078,6409634.21516026
305,Saint Bonnet-Laval,48139,756544.861817855,6412847.30968975
306,Chastanier,48041,759640.618318994,6402932.80071367
307,Huparlac,12116,680485.759715787,6401359.45068002
308,Paulhac-en-Margeride,48110,730422.019089194,6427225.07742714
309,Julianges,48077,725228.343257285,6426434.48821579
310,Pelouse,48111,748124.960569556,6386076.3186928
311,Joncels,34121,714766.012827654,6296329.71141049
312,Sainte-Croix-Vallée-Française,48144,759301.774109463,6343347.19060598
313,Saint-Ambroix,30227,795376.042684339,6351151.07948185
314,Compeyre,12070,708202.202352953,6341844.39222274
315,Goudargues,30131,815010.580442554,6346574.23887907
316,Le Born,48029,744335.604760435,6387769.14137253
317,Saint-Germain-du-Teil,48156,713696.819178602,6375851.12655719
318,Pignan,34202,760562.522348819,6276565.76683503
319,Servian,34300,724870.322369397,6257279.10766485
320,Barjac,30029,807579.151448919,6357958.55606883
321,Orthoux-Sérignac-Quilhan,30192,783847.931631048,6310353.21814838
322,Saint-Félix-de-l'Héras,34253,725274.428740801,6304509.76663975
323,Langlade,30138,801058.5552812,6301412.4863179
324,Grabels,34116,764069.347258795,6283818.86364625
325,Corconne,30095,775585.461804901,6308607.05583706
326,Lasalle,30140,768259.255636402,6327509.3747337
327,Causses-et-Veyran,34061,707392.65481089,6263229.14045404
328,Grazac,81106,591409.460070234,6306544.39010221
329,Méjannes-le-Clap,30164,808956.094691765,6348922.69019293
330,Le Pompidou,48115,752670.170330369,6345208.7631913
331,Sumène,30325,758739.860495039,6321337.11430452
332,Cassuéjouls,12058,685101.224936455,6402655.76806662
333,Quissac,30210,780087.038215879,6313764.68628884
334,Villeneuve-lès-Béziers,34336,723524.840443831,6246492.73026057
335,Estaing,12098,675141.697056565,6385643.10401913
336,Saint-Laurent-des-Arbres,30278,835572.386402072,6329939.90523538
337,Saint-Martin-de-Valgalgues,30284,785994.645542868,6341319.09958706
338,Laval-du-Tarn,48085,727503.477495624,6363926.50225559
339,Combas,30088,790101.165481168,6307266.88971126
340,Bassurels,48020,748432.843531588,6340099.05089978
341,Brissac,34042,756713.332024843,6307879.47563971
342,Vias,34332,732399.925419799,6246070.52674077
343,Arphy,30015,747029.353214039,6327125.7016379
344,Tressan,34313,739322.477476385,6274985.90406581
345,La Cadière-et-Cambo,30058,764739.485292109,6318520.95039371
346,Murols,12166,666527.474519657,6406951.30262123
347,Saint-Hippolyte-du-Fort,30263,768449.098582607,6317537.85753702
348,Soustelle,30323,779966.570088842,6341988.76064548
349,Sauclières,12260,730150.317429913,6320176.30146625
350,Pomayrols,12184,704675.218541857,6376416.98644446
351,Peyreleau,12180,716369.040514912,6341926.54180704
352,Campagnac,12047,707022.893467081,6366923.28745507
353,Caveirac,30075,801961.062777602,6304720.93408103
354,Saint-Geniès-de-Varensal,34257,700243.80241889,6287652.516683
355,La Tieule,48191,712841.869167222,6364845.18456945
