COM,NAME,PTOT
010585833003,Alt Duvenstedt,1905
010585833054,Fockbek,6583
010585833118,Nübbel,1542
010585833136,Rickert,1050
010585847010,Bargstall,153
010585847029,Breiholz,1327
010585847036,Christiansholm,230
010585847047,Elsdorf-Westermühlen,1609
010585847055,Friedrichsgraben,50
010585847056,Friedrichsholm,391
010585847070,Hamdorf,1355
010585847078,Hohn,2471
010585847089,Königshügel,168
010585847097,Lohe-Föhrden,442
010585847129,Prinzenmoor,156
010585847154,Sophienhamm,312
010585853031,Brinjahe,101
010585853048,Embühren,203
010585853068,Haale,501
010585853071,Hamweddel,450
010585853075,Hörsten,55
010585853086,Jevenstedt,3350
010585853101,Luhnstedt,380
010585853148,Schülp b. Rendsburg,1020
010585853155,Stafstedt,355
010585853172,Westerrönfeld,4953
010585859018,Blumenthal,617
010585859105,Mielkendorf,1392
010585859107,Molfsee,5046
010585859138,Rodenbek,457
010585859139,Rumohr,818
010585859141,Schierensee,347
010585864011,Bargstedt (Kreis Rendsburg-Eckernförde),744
010585864021,Bokel (Kreis Rendsburg-Eckernförde),582
010585864023,Borgdorf-Seedorf,454
010585864027,Brammer,359
010585864038,Dätgen,596
010585864045,Eisendorf,299
010585864046,Ellerdorf,482
010585864049,Emkendorf,1311
010585864059,Gnutz,1162
010585864065,Groß Vollstedt,969
010585864091,Krogaspe,432
010585864094,Langwedel,1587
010585864117,"Nortorf, Stadt",6958
010585864120,Oldenhütten,151
010585864147,Schülp b. Nortorf,779
010585864163,Timmaspe,1097
010585864168,Warder,691
010585888026,Bovenau,1085
010585888073,Haßmoor,274
010585888122,Ostenfeld (Rendsburg),597
010585888124,Osterrönfeld,4977
010585888132,Rade b. Rendsburg,217
010585888140,Schacht-Audorf,4813
010585888146,Schülldorf,753
010585889016,Bissee,166
010585889022,Bordesholm,7789
010585889033,Brügge,1133
010585889063,Grevenkrug,219
010585889064,Groß Buchwald,374
010585889076,Hoffeld (Kreis Rendsburg-Eckernförde),171
010585889098,Loop,189
010585889108,Mühbrook,536
010585889109,Negenharrie,376
010585889133,Reesdorf,157
010585889143,Schmalstede,296
010585889144,Schönbek,215
010585889153,Sören,190
010585889170,Wattenbek,2869
010585890008,Ascheffel,984
010585890024,Borgstedt,1742
010585890030,Brekendorf,963
010585890035,Bünsdorf,531
010585890039,Damendorf,416
010585890066,Groß Wittensee,1308
010585890069,Haby,549
010585890080,Holtsee,1244
010585890081,Holzbunge,336
010585890083,Hütten (Kreis Rendsburg-Eckernförde),215
010585890088,Klein Wittensee,226
010585890111,Neu Duvenstedt,129
010585890123,Osterby (Kreis Rendsburg-Eckernförde),987
010585890127,Owschlag,3688
010585890152,Sehestedt,782
010585890175,Ahlefeld-Bistensee,485
010585893004,Altenhof (Kreis Rendsburg-Eckernförde),337
010585893012,Barkelsby,1581
010585893032,Brodersby (Kreis Rendsburg-Eckernförde),709
010585893040,Damp,1510
010585893042,Dörphof,737
010585893052,Fleckeby,2076
010585893057,Gammelby,519
010585893067,Güby,673
010585893082,Holzdorf,868
010585893084,Hummelfeld,279
010585893087,Karby,558
010585893090,Kosel,1398
010585893099,Loose,853
010585893102,Goosefeld,724
010585893137,Rieseby,2829
010585893162,Thumby,357
010585893166,Waabs,1474
010585893173,Windeby,990
010585893174,Winnemark,571
010585895007,Arpsdorf,298
010585895009,Aukrug,3721
010585895013,Beldorf,284
010585895014,Bendorf,440
010585895015,Beringstedt,730
010585895025,Bornholt,181
010585895044,Ehndorf,599
010585895061,Gokels,596
010585895062,Grauel,280
010585895072,Hanerau-Hademarschen,2902
010585895074,Heinkenborstel,139
010585895077,Hohenwestedt,5368
010585895085,Jahrsdorf,227
010585895100,Lütjenwestedt,550
010585895103,Meezen,367
010585895106,Mörel,257
010585895113,Nienborstel,591
010585895115,Nindorf,645
010585895119,Oldenbüttel,269
010585895125,Osterstedt,660
010585895128,Padenstedt,1770
010585895131,Rade b. Hohenwestedt,98
010585895134,Remmels,441
010585895151,Seefeld,329
010585895156,Steenfeld,329
010585895158,Tackesdorf,70
010585895159,Tappendorf,334
010585895161,Thaden,241
010585895164,Todenbüttel,1058
010585895167,Wapelfeld,319
010590045045,"Kappeln, Stadt",8542
010590075075,"Schleswig, Stadt",24946
010590113113,"Glücksburg (Ostsee), Stadt",6184
010590120120,Harrislee,11798
010590183183,Handewitt,11330
010595912107,Eggebek,2477
010595912128,Janneby,409
010595912131,Jerrishoe,1043
010595912132,Jörl,868
010595912138,Langstedt,1040
010595912162,Sollerup,493
010595912169,Süderhackstedt,341
010595912174,Wanderup,2636
010595915012,Borgwedel,736
010595915018,Busdorf,2050
010595915019,Dannewerk,1153
010595915026,Fahrdorf,2597
010595915032,Geltorf,351
010595915043,Jagel,925
010595915056,Lottorf,240
010595915078,Selk,830
010595919101,Tastrup,397
010595919103,Ausacker,523
010595919116,Großsolt,1706
010595919126,Hürup,1258
010595919127,Husby,2306
010595919141,Maasbüll,692
010595919182,Freienwill,1583
010595920002,"Arnis, Stadt",275
010595920034,Grödersby,212
010595920067,Oersberg,286
010595920068,Rabenkirchen-Faulück,657
010595937106,Dollerup,1047
010595937118,Grundhof,1018
010595937137,Langballig,1574
010595937145,Munkbrarup,1139
010595937157,Ringsberg,542
010595937176,Wees,2399
010595937178,Westerholz,774
010595940159,Sieverstedt,1637
010595940171,Tarp,5918
010595940184,Oeversee,3489
010595949076,Schnarup-Thumby,552
010595949161,Sörup,4140
010595949185,Mittelangeln,5293
